"접수연도","자치구코드","자치구명","법정동코드","법정동명","지번구분","지번구분명","본번","부번","건물명","계약일","물건금액(만원)","건물면적(㎡)","토지면적(㎡)","층","권리구분","취소일","건축년도","건물용도","신고구분","신고한 개업공인중개사 시군구명"
"2024","11410","서대문구","11800","홍은동","1","대지","0265","0166","세신빌라","20241230","12000","47.34","35.000000","2","","","1991","연립다세대","직거래",""
"2024","11215","광진구","10700","화양동","1","대지","0017","0068","세종에버그린","20241230","27000","35.49","44.650000","3","","","2018","오피스텔","중개거래","서울 광진구"
"2024","11470","양천구","10300","신월동","1","대지","0535","0002","엘리시안3차","20241230","13000","25.06","13.000000","2","","","2012","연립다세대","직거래",""
"2024","11350","노원구","10500","상계동","1","대지","1122","0003","예림빌라","20241230","8000","33.3","21.000000","4","","","1994","연립다세대","직거래",""
"2024","11440","마포구","12500","성산동","1","대지","0013","0021","예림아너스","20241230","56500","66.51","0.000000","5","","","2006","아파트","중개거래","서울 마포구"
"2024","11350","노원구","10400","하계동","1","대지","0354","0000","학여울청구","20241230","87000","113.51","0.000000","2","","","1999","아파트","중개거래","서울 노원구"
"2024","11530","구로구","10200","구로동","1","대지","0512","0002","하이빌골드타워","20241230","31000","41.43","50.770000","5","","","2019","오피스텔","중개거래","서울 구로구"
"2024","11500","강서구","10600","내발산동","1","대지","0673","0013","동건우장산센트레빌","20241230","29000","42.37","25.000000","2","","","2015","연립다세대","중개거래","서울 양천구"
"2024","11500","강서구","10200","등촌동","1","대지","0517","0016","돌담","20241230","32000","28.29","21.000000","4","","","2012","연립다세대","중개거래","서울 강서구"
"2024","11380","은평구","10300","불광동","1","대지","0090","0055","골든팰리스(90-55)","20241230","28000","29.93","21.000000","5","","","2023","연립다세대","직거래",""
"2024","11140","중구","16200","신당동","1","대지","0405","0001","장충아트빌라","20241230","33500","47.58","25.000000","2","","","1994","연립다세대","중개거래","경기 성남시 분당구"
"2024","11500","강서구","10300","화곡동","1","대지","0353","0043","뷰티쉐르빌353","20241230","22300","26.9","16.000000","2","","20241230","2017","연립다세대","직거래",""
"2024","11620","관악구","10200","신림동","1","대지","1709","0003","보라매108동","20241230","30000","59.94","26.000000","2","","","2000","연립다세대","중개거래","서울 관악구"
"2024","11620","관악구","10100","봉천동","1","대지","1720","0000","벽산블루밍3차","20241230","80500","84.72","0.000000","13","","","2004","아파트","중개거래","서울 관악구"
"2024","11650","서초구","10800","서초동","1","대지","1303","0035","강남태영데시앙루브","20241230","32400","32.57","43.260000","7","","","2005","오피스텔","중개거래","서울 서초구"
"2024","11710","송파구","10800","문정동","1","대지","0145","0000","문정시영","20241230","61500","39.69","0.000000","1","","","1989","아파트","중개거래","서울 송파구"
"2024","11620","관악구","10100","봉천동","1","대지","0635","0061","국사봉빌라","20241230","14000","48.12","30.000000","1","","","1995","연립다세대","중개거래","서울 관악구"
"2024","11470","양천구","10200","목동","1","대지","0911","0000","목동신시가지6","20241230","265000","115.19","0.000000","5","","","1986","아파트","중개거래","서울 양천구"
"2024","11260","중랑구","10200","상봉동","1","대지","0001","0000","건영1","20241230","71800","84.96","0.000000","9","","","1997","아파트","중개거래","서울 중랑구"
"2024","11305","강북구","10300","수유동","1","대지","0394","0040","로얄하이츠","20241229","26800","78.12","47.000000","1","","","1994","연립다세대","중개거래","서울 강북구"
"2024","11710","송파구","10700","가락동","1","대지","0021","0006","가락쌍용(2차)","20241229","107500","59.88","0.000000","10","","","1999","아파트","중개거래","서울 송파구"
"2024","11290","성북구","10300","돈암동","1","대지","0636","0000","이수브라운스톤돈암","20241229","70500","59.99","0.000000","7","","","2004","아파트","중개거래","서울 성북구"
"2024","11500","강서구","10100","염창동","1","대지","0263","0009","현대가우스빌","20241229","31500","52.48","63.810000","3","","","2015","오피스텔","중개거래","서울 강서구"
"2024","11680","강남구","10100","역삼동","1","대지","0832","0033","성우스타우스오피스텔","20241229","23000","32.03","41.120000","12","","","2004","오피스텔","중개거래","서울 강남구"
"2024","11500","강서구","10200","등촌동","1","대지","0365","0059","세명클래스","20241228","23100","32.27","19.000000","2","","","2015","연립다세대","중개거래","서울 서초구"
"2024","11500","강서구","10500","마곡동","1","대지","0773","0003","힐스테이트에코동익","20241228","19700","24.57","35.004000","12","","","2017","오피스텔","중개거래","서울 강서구"
"2024","11500","강서구","10500","마곡동","1","대지","0758","0004","마곡럭스나인오피스텔","20241228","18700","25.29","35.500000","5","","","2016","오피스텔","중개거래","서울 강서구"
"2024","11320","도봉구","10800","도봉동","1","대지","0030","0001","한신","20241228","59500","84.94","0.000000","7","","","1995","아파트","중개거래","서울 도봉구"
"2024","11530","구로구","10800","오류동","1","대지","0334","0000","라인","20241228","55750","84.36","0.000000","15","","","1995","아파트","중개거래","서울 구로구"
"2024","11320","도봉구","10700","창동","1","대지","0347","0000","창동주공3단지(해등마을)","20241228","62100","61.52","0.000000","14","","","1990","아파트","중개거래","서울 도봉구"
"2024","11470","양천구","10200","목동","1","대지","0966","0000","목동에버하임","20241228","39000","39.82","0.000000","7","","","2019","아파트","중개거래","서울 강서구"
"2024","11320","도봉구","10800","도봉동","1","대지","0656","0000","양우내안애","20241228","56500","84.92","0.000000","4","","20250103","2005","아파트","중개거래","서울 도봉구"
"2024","11530","구로구","10700","개봉동","1","대지","0322","0007","산호파크맨션(322-7)","20241228","15000","60.91","30.000000","-1","","","1993","연립다세대","중개거래","서울 구로구"
"2024","11470","양천구","10300","신월동","1","대지","0964","0004","한영주택3동","20241228","21500","40.05","30.000000","2","","","1986","연립다세대","중개거래","서울 양천구"
"2024","11260","중랑구","10100","면목동","1","대지","0715","0000","늘푸른동아","20241228","71300","84.97","0.000000","19","","","2002","아파트","중개거래","서울 중랑구"
"2024","11260","중랑구","10100","면목동","1","대지","1505","0000","리치카운티","20241228","71000","84.741","0.000000","6","","20250324","2004","아파트","중개거래","서울 중랑구"
"2024","11590","동작구","10700","사당동","1","대지","1136","0000","경남아너스빌(대아3)","20241228","66000","42.63","0.000000","11","","","1998","아파트","중개거래","서울 동작구"
"2024","11470","양천구","10100","신정동","1","대지","1018","0012","예도하임","20241228","24750","29.99","24.000000","3","","","2017","연립다세대","중개거래","서울 양천구"
"2024","11680","강남구","10800","논현동","1","대지","0023","0014","그랑빌","20241228","87700","151.13","108.000000","1","","20241231","2003","연립다세대","직거래",""
"2024","11320","도봉구","10500","쌍문동","1","대지","0505","0002","은행주택(201동)","20241228","23000","36.35","21.000000","3","","","2017","연립다세대","중개거래","서울 도봉구"
"2024","11260","중랑구","10100","면목동","1","대지","1505","0000","리치카운티","20241228","71000","84.741","0.000000","6","","","2004","아파트","중개거래","서울 중랑구"
"2024","11530","구로구","10200","구로동","1","대지","0187","0003","예성유토피아","20241228","28500","40.68","54.380000","2","","","2005","오피스텔","중개거래","서울 구로구"
"2024","11710","송파구","10700","가락동","1","대지","0140","0000","가락(1차)쌍용아파트","20241228","128000","59.92","0.000000","13","","","1997","아파트","중개거래","서울 송파구"
"2024","11350","노원구","10400","하계동","1","대지","0354","0000","학여울청구","20241228","53800","59.4","0.000000","1","","","1999","아파트","중개거래","서울 노원구"
"2024","11260","중랑구","10300","중화동","1","대지","0301","0023","새우리빌라","20241228","26500","48.32","27.000000","4","","","2003","연립다세대","중개거래","서울 강동구, 서울 중랑구"
"2024","11560","영등포구","12400","문래동6가","1","대지","0055","0001","현대6차","20241228","65000","50.55","0.000000","4","","","1997","아파트","중개거래","서울 영등포구"
"2024","11590","동작구","10200","상도동","1","대지","0414","0000","건영","20241228","104000","114.96","0.000000","1","","","1997","아파트","중개거래","서울 동작구"
"2024","11230","동대문구","10900","휘경동","1","대지","0057","0000","주공2","20241228","49000","39.98","0.000000","6","","","2001","아파트","중개거래","서울 동대문구"
"2024","11680","강남구","10100","역삼동","1","대지","0837","0013","강남역 와이즈 플레이스","20241228","21000","23.87","34.890000","4","","","2013","오피스텔","중개거래","서울 강남구"
"2024","11140","중구","13300","충무로5가","1","대지","0036","0002","충무로엘크루메트로시티2","20241228","19000","23.03","31.700000","15","","","2016","오피스텔","중개거래","서울 중구"
"2024","11500","강서구","10800","공항동","1","대지","0670","0002","광성하이츠빌라","20241228","16500","36.09","20.000000","3","","","1990","연립다세대","중개거래","서울 강서구"
