접수연도,자치구코드,자치구명,법정동코드,법정동명,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,건축년도,역개수,학교수
2024,11305,강북구,10300,수유동,로얄하이츠,20241229,26800,78.12,47.0,1.0,1994.0,3,24
2024,11710,송파구,10700,가락동,가락쌍용(2차),20241229,107500,59.88,0.0,10.0,1999.0,28,10
2024,11290,성북구,10300,돈암동,이수브라운스톤돈암,20241229,70500,59.99,0.0,7.0,2004.0,9,28
2024,11500,강서구,10100,염창동,현대가우스빌,20241229,31500,52.48,63.81,3.0,2015.0,9,4
2024,11680,강남구,10100,역삼동,성우스타우스오피스텔,20241229,23000,32.03,41.12,12.0,2004.0,21,4
2024,11500,강서구,10200,등촌동,세명클래스,20241228,23100,32.27,19.0,2.0,2015.0,9,45
2024,11500,강서구,10500,마곡동,힐스테이트에코동익,20241228,19700,24.57,35.004,12.0,2017.0,9,8
2024,11500,강서구,10500,마곡동,마곡럭스나인오피스텔,20241228,18700,25.29,35.5,5.0,2016.0,9,8
2024,11320,도봉구,10800,도봉동,한신,20241228,59500,84.94,0.0,7.0,1995.0,3,7
2024,11530,구로구,10800,오류동,라인,20241228,55750,84.36,0.0,15.0,1995.0,7,12
2024,11320,도봉구,10700,창동,창동주공3단지(해등마을),20241228,62100,61.52,0.0,14.0,1990.0,3,21
2024,11470,양천구,10200,목동,목동에버하임,20241228,39000,39.82,0.0,7.0,2019.0,5,32
2024,11320,도봉구,10800,도봉동,양우내안애,20241228,56500,84.92,0.0,4.0,2005.0,3,7
2024,11530,구로구,10700,개봉동,산호파크맨션(322-7),20241228,15000,60.91,30.0,-1.0,1993.0,7,7
2024,11470,양천구,10300,신월동,한영주택3동,20241228,21500,40.05,30.0,2.0,1986.0,5,46
2024,11260,중랑구,10100,면목동,늘푸른동아,20241228,71300,84.97,0.0,19.0,2002.0,8,15
2024,11260,중랑구,10100,면목동,리치카운티,20241228,71000,84.741,0.0,6.0,2004.0,8,15
2024,11590,동작구,10700,사당동,경남아너스빌(대아3),20241228,66000,42.63,0.0,11.0,1998.0,12,14
2024,11470,양천구,10100,신정동,예도하임,20241228,24750,29.99,24.0,3.0,2017.0,5,63
2024,11680,강남구,10800,논현동,그랑빌,20241228,87700,151.13,108.0,1.0,2003.0,21,2
2024,11320,도봉구,10500,쌍문동,은행주택(201동),20241228,23000,36.35,21.0,3.0,2017.0,3,39
2024,11260,중랑구,10100,면목동,리치카운티,20241228,71000,84.741,0.0,6.0,2004.0,8,15
2024,11530,구로구,10200,구로동,예성유토피아,20241228,28500,40.68,54.38,2.0,2005.0,7,23
2024,11710,송파구,10700,가락동,가락(1차)쌍용아파트,20241228,128000,59.92,0.0,13.0,1997.0,28,10
2024,11350,노원구,10400,하계동,학여울청구,20241228,53800,59.4,0.0,1.0,1999.0,13,52
2024,11260,중랑구,10300,중화동,새우리빌라,20241228,26500,48.32,27.0,4.0,2003.0,8,7
2024,11560,영등포구,12400,문래동6가,현대6차,20241228,65000,50.55,0.0,4.0,1997.0,11,0
2024,11590,동작구,10200,상도동,건영,20241228,104000,114.96,0.0,1.0,1997.0,12,8
2024,11230,동대문구,10900,휘경동,주공2,20241228,49000,39.98,0.0,6.0,2001.0,6,36
2024,11680,강남구,10100,역삼동,강남역 와이즈 플레이스,20241228,21000,23.87,34.89,4.0,2013.0,21,4
2024,11140,중구,13300,충무로5가,충무로엘크루메트로시티2,20241228,19000,23.03,31.7,15.0,2016.0,23,0
2024,11500,강서구,10800,공항동,광성하이츠빌라,20241228,16500,36.09,20.0,3.0,1990.0,9,3
2024,11590,동작구,10500,흑석동,우리유앤미,20241228,86000,59.661,0.0,8.0,2003.0,12,5
2024,11710,송파구,10300,풍납동,송파현대힐스테이트,20241228,118500,84.99,0.0,10.0,2006.0,28,11
2024,11170,용산구,10100,후암동,후암미주,20241228,89500,63.31,0.0,1.0,1980.0,10,2
2024,11710,송파구,10800,문정동,문정 아이파크,20241228,19100,21.57,31.75,14.0,2017.0,28,8
